safe,release_speed,plate_x,plate_z,pop_time,exchange_time,arm_strength,lead,sprint_speed,swing,delta_run_exp
0,85.4,0.81,0.8,1.915478261,0.648045455,79.380347826,10.762666667,27.8,0,0.029
1,89.5,0.18,-0.64,1.909,0.707966667,84.429241379,12.045,27.8,0,0.017
1,90.1,0.14,1.91,2.03274359,0.694487179,75.660358974,12.045,26.9,0,-0.052
0,90.3,-1.98,1.75,2.123846154,0.847192308,78.67532,11.228,28,0,-0.153
1,87.4,0.75,1.49,2.123846154,0.847192308,78.67532,11.228,29.6,1,-0.073
1,94,0.56,4.58,2.0228,0.7066,76.873818182,11.1435,27.7,0,0.048
0,89.6,0.94,2.3,2.0228,0.7066,76.873818182,11.1435,27.7,0,-0.251
0,88.4,-0.69,2.86,2.0228,0.7066,76.873818182,11.1435,28.9,0,-0.232
1,87.8,1.5,0.59,2.037071429,0.807821429,82.251678571,12.271833333,28,0,0.024
1,85.4,0.91,1.69,2.089714286,0.734095238,74.933,12.271833333,28.7,0,0.048
1,88.2,0.96,1.9,2.037071429,0.807821429,82.251678571,12.271833333,27.7,1,-0.051
1,88.1,0.19,1.24,2.089714286,0.734095238,74.933,12.271833333,26,1,-0.367
1,80.3,-0.3,1.9,2.089714286,0.734095238,74.933,12.271833333,26.5,0,-0.052
1,87.8,0.27,1.75,2.089714286,0.734095238,74.933,12.271833333,26.4,0,-0.047
0,92.8,-0.5,3.31,2.089714286,0.734095238,74.933,12.271833333,29.1,0,-0.203
1,90.8,0.17,3.24,2.041551724,0.772368421,78.662660714,11.631333333,28.8,0,-0.076
0,87.7,-2.08,2.48,2.041551724,0.772368421,78.662660714,11.631333333,28.3,0,0.048
1,88.7,0.42,0.83,2.041551724,0.772368421,78.662660714,11.631333333,28,0,0.031
0,94.3,-1.71,3.12,2.041551724,0.772368421,78.662660714,11.631333333,27.7,0,0.057
0,87.3,-1.08,3.18,1.909,0.707966667,84.429241379,11.5245,27.8,0,0.17
1,90.4,-0.44,1.4,1.909,0.707966667,84.429241379,11.5245,29.5,1,-0.051
1,85.8,1.35,-0.2,1.909,0.707966667,84.429241379,11.5245,25.7,0,0.038
1,93.7,-1.96,3.48,2.068285714,0.7275,76.456428571,11.5245,30.2,0,0.062
0,94.7,-0.52,4.17,1.909,0.707966667,84.429241379,11.5245,27.7,0,0.039
1,97.3,-2.06,2.17,2.068285714,0.7275,76.456428571,11.5245,29.5,0,0.017
0,90.5,-0.47,3.79,2.039645161,0.767225806,79.856129032,11.476857143,30,0,0.054
1,90.6,0.61,2.77,2.039645161,0.767225806,79.856129032,11.476857143,30.2,0,-0.04
0,87.4,-0.79,2.57,2.039645161,0.767225806,79.856129032,11.476857143,26.9,0,-0.367
1,91.1,1.37,2.39,1.996833333,0.715083333,81.283166667,11.476857143,28.1,0,0.075
0,85.9,0.68,1.7,1.996833333,0.715083333,81.283166667,11.476857143,28.9,0,-0.203
1,88.6,0.93,1.73,1.996833333,0.715083333,81.283166667,11.476857143,29.6,0,0.062
0,91.2,1.43,2.96,1.996833333,0.715083333,81.283166667,11.476857143,28.3,0,0.061
1,93,0.01,4.54,2.067357143,0.727666667,74.948785714,10.618375,26.8,0,0.029
1,84.7,1,2.42,2.041551724,0.772368421,78.662660714,10.618375,25,0,-0.04
1,81.1,-0.6,1.04,2.041551724,0.772368421,78.662660714,10.618375,26.5,0,0.017
1,84.2,1.96,2.33,2.075615385,0.824384615,78.825461538,10.618375,28.8,0,0.117
1,91.1,0.14,1.41,2.075615385,0.824384615,78.825461538,10.618375,29.6,0,0.084
1,80.5,-1.47,1.3,2.067357143,0.727666667,74.948785714,10.618375,26.5,1,-0.051
1,95.1,-1.04,1.8,2.041551724,0.772368421,78.662660714,10.618375,26.3,0,0.162
1,94.7,-0.38,1.83,2.041551724,0.772368421,78.662660714,10.618375,25.6,0,-0.04
1,94,-1.66,1.63,2.041551724,0.772368421,78.662660714,10.618375,27.3,1,-0.11
1,84.1,-0.85,1.37,2.041551724,0.772368421,78.662660714,10.618375,27.1,0,0.036
1,92.9,-0.84,2.86,2.067357143,0.727666667,74.948785714,10.618375,28,0,-0.068
1,92,-0.46,0.94,2.067357143,0.727666667,74.948785714,10.618375,28.9,0,0.062
1,80.6,-1.21,1.5,2.075615385,0.824384615,78.825461538,10.618375,27.4,0,0.017
1,90.7,-1.66,1.94,2.067357143,0.727666667,74.948785714,10.618375,29.1,0,0.017
0,82,-1.63,0.05,2.041551724,0.772368421,78.662660714,10.618375,27.9,1,-0.182
1,76.4,-0.56,2.19,2.089714286,0.734095238,74.933,11.7405,25.5,0,-0.044
1,78.3,-0.32,1.95,2.037071429,0.807821429,82.251678571,11.7405,28,0,-0.047
1,83.1,-2.02,1.65,2.037071429,0.807821429,82.251678571,11.7405,27.7,0,0.031
0,83.7,-1.59,2.18,2.037071429,0.807821429,82.251678571,11.7405,27.8,1,-0.488
1,94.3,0.48,2.85,2.089714286,0.734095238,74.933,11.7405,27.7,1,-0.27
1,93.8,0.18,2.89,2.037071429,0.807821429,82.251678571,11.7405,27.9,0,-0.062
1,88.2,0.93,2.47,1.937613636,0.674395349,81.197232558,12.392625,25.2,0,0.017
1,88.4,-0.37,3.65,1.937613636,0.674395349,81.197232558,12.392625,28.8,0,-0.054
1,87.6,0.35,3.96,1.937613636,0.674395349,81.197232558,12.392625,28.9,0,0.057
1,80.5,0.22,3.6,1.937613636,0.674395349,81.197232558,12.392625,25.2,0,0.036
1,80.9,0.15,0.76,1.937613636,0.674395349,81.197232558,12.392625,28.4,0,0.054
1,82.4,0.69,0.12,1.937613636,0.674395349,81.197232558,12.392625,25.2,0,0.057
0,87,0.73,3.87,1.937613636,0.674395349,81.197232558,12.392625,26.5,1,-0.062
1,94.3,-1.81,3.52,2.039645161,0.767225806,79.856129032,10.820333333,28.6,0,0.058
1,80.4,-1.29,4.18,2.039645161,0.767225806,79.856129032,10.820333333,27.3,0,0.029
0,95.1,-0.86,2.18,2.039645161,0.767225806,79.856129032,10.820333333,25.5,1,-0.367
1,90.9,-0.9,3.54,1.9838125,0.7265625,81.4671875,11.482133333,28.9,1,-0.052
0,80.6,0.91,1.03,2.054538462,0.784416667,80.099,11.482133333,29,0,-0.22
1,86.7,-0.4,2.91,2.054538462,0.784416667,80.099,11.482133333,28.8,0,-0.044
1,90.3,0.56,1.34,2.054538462,0.784416667,80.099,11.482133333,27.4,0,0.198
1,90.2,-1.28,2.78,2.054538462,0.784416667,80.099,11.482133333,28.8,0,0.054
1,87.7,-0.59,2.9,1.9838125,0.7265625,81.4671875,11.482133333,27.3,1,-0.27
1,91.7,-1.82,2.23,1.9838125,0.7265625,81.4671875,11.482133333,28,1,-0.065
1,89.2,-0.78,1.76,2.054538462,0.784416667,80.099,11.482133333,27.7,1,-0.062
1,89.6,-2.05,2.92,2.054538462,0.784416667,80.099,11.482133333,27.5,0,0.057
1,91.5,0.9,1.72,2.054538462,0.784416667,80.099,11.482133333,27.5,0,0.075
1,87,-0.63,1.17,1.9838125,0.7265625,81.4671875,11.482133333,29.1,1,-0.488
1,92,1.87,2.74,2.054538462,0.784416667,80.099,11.482133333,27.8,0,0.017
1,78.6,-1.11,3.21,1.9838125,0.7265625,81.4671875,11.482133333,26.8,0,0.084
1,91.9,0.24,1.43,1.9838125,0.7265625,81.4671875,11.482133333,28.9,0,0.031
1,81.8,-0.54,0.36,2.051352941,0.792529412,80.848529412,11.83,28.5,0,0.017
1,88.1,1.43,1.78,2.051352941,0.792529412,80.848529412,11.83,27.3,0,0.048
1,96.4,0.09,4.78,2.010842105,0.744815789,80.030210526,10.781222222,27.4,0,0.075
1,91,0.08,2.93,2.010842105,0.744815789,80.030210526,10.781222222,26.4,0,-0.052
1,92,-0.84,2.87,2.180928571,0.895571429,78.048785714,10.781222222,28.8,1,-0.073
1,85.6,0.96,0.81,2.010842105,0.744815789,80.030210526,10.781222222,26.2,0,0.031
0,93.9,0.16,1.91,2.010842105,0.744815789,80.030210526,10.781222222,26,0,-0.367
0,92.9,-1.28,2.97,2.010842105,0.744815789,80.030210526,10.781222222,29,0,-0.22
0,91.8,0.7,1.91,2.010842105,0.744815789,80.030210526,10.781222222,27.9,1,-0.367
0,89.8,0.06,3.06,2.010842105,0.744815789,80.030210526,10.781222222,27.3,0,-0.22
0,92.9,0.84,1.95,2.010842105,0.744815789,80.030210526,10.781222222,28.2,0,0.062
0,94.8,-1.37,4.76,2.180928571,0.895571429,78.048785714,10.781222222,28.8,0,-0.136
1,77.3,-0.79,0.48,2.0776875,0.781125,77.433375,11.63125,28.5,0,0.061
0,79.8,-0.88,1.02,2.037071429,0.807821429,82.251678571,11.63125,27.7,1,-0.203
0,80.2,-0.6,1.89,2.089714286,0.734095238,74.933,11.63125,27.1,0,-0.212
0,79.5,-0.95,1.88,2.037071429,0.807821429,82.251678571,11.63125,28.3,1,-0.18
1,84.2,-0.73,2.88,2.03365625,0.763903226,78.28690625,11.6635,27.4,0,-0.092
1,85.9,0.12,-0.14,2.044083333,0.772181818,79.427090909,11.6635,28.4,0,0.094
1,84.5,0.1,0.87,2.044083333,0.772181818,79.427090909,11.6635,28.4,0,0.075
1,92.8,0.15,1.52,2.03365625,0.763903226,78.28690625,11.6635,28.2,0,-0.073
1,94.4,0.9,3.35,2.016851852,0.780148148,81.39628,11.6635,27.1,0,0.031
1,91.7,0.1,2.32,2.044083333,0.772181818,79.427090909,11.6635,27.3,0,-0.04
1,91.8,-0.9,3.54,1.991470588,0.689588235,77.506666667,10.956894737,28.3,1,-0.062
1,90.6,-0.89,3.08,1.991470588,0.689588235,77.506666667,10.956894737,27.7,0,-0.118
1,90.9,-0.67,3.92,1.991794118,0.716470588,78.476617647,10.956894737,28.8,0,0.048
1,91.6,0.07,3.02,1.991794118,0.716470588,78.476617647,10.956894737,27.1,0,-0.044
1,90.4,-0.54,3.17,1.991470588,0.689588235,77.506666667,10.956894737,27.8,1,-0.212
1,89.2,-0.43,2.63,1.991794118,0.716470588,78.476617647,10.956894737,29.4,0,-0.052
1,86.7,1.43,0.45,1.991470588,0.689588235,77.506666667,10.956894737,27.9,0,0.084
1,92.2,0.34,0.95,1.991794118,0.716470588,78.476617647,10.956894737,28,0,0.036
1,83.9,0.31,2.26,1.991470588,0.689588235,77.506666667,10.956894737,27.7,0,-0.062
1,85.2,0.32,1.59,1.991794118,0.716470588,78.476617647,10.956894737,27.3,0,0.036
0,82.6,-2.85,5.95,1.991470588,0.689588235,77.506666667,10.956894737,29.3,0,0.048
1,84.6,-1.22,0.88,1.991470588,0.689588235,77.506666667,10.956894737,27,1,-0.27
1,84.2,0.95,0.21,1.991794118,0.716470588,78.476617647,10.956894737,27.2,0,0.162
1,92.8,-0.04,1.74,1.991794118,0.716470588,78.476617647,10.956894737,28.2,0,0.162
0,83.4,-0.26,1.58,1.991794118,0.716470588,78.476617647,10.956894737,27.4,1,-0.11
1,83.8,-0.17,1.03,1.991794118,0.716470588,78.476617647,10.956894737,27.9,1,-0.488
1,84.7,-1.21,1.67,1.991794118,0.716470588,78.476617647,10.956894737,29.5,0,0.061
1,89.9,0.12,3.05,1.991794118,0.716470588,78.476617647,10.956894737,28.2,0,-0.047
1,84.2,-0.6,2.72,1.991794118,0.716470588,78.476617647,10.956894737,28.1,0,-0.051
