PitchId,game_pk,p_throws,description,pitch_name,batter,pitcher,stand,inning,inning_topbot,balls,strikes,outs_when_up,pitch_number,at_bat_number,away_team,home_team,sz_top,sz_bot,release_extension,release_angle,spin_axis,release_pos_x,release_pos_y,release_pos_z,release_speed,release_direction,release_spin_rate,pfx_x,pfx_z,zone_speed,vert_appr_angle,effective_speed,horz_appr_angle,plate_x,plate_z,zone_time,vx0,vy0,vz0,ax,ay,az,speed_drop,x_tunnel,z_tunnel,vyR,spin_eff,events,Swing,Strike,InZone,Chase,Whiff,InZoneWhiff,Bauer,pitcher_team,batter_team,IP,PA,HR,BB,K,babip_value,AB,slugging
49,1,R,ball,CH,19,2,R,7,Top,0,1,1,2,53,1,2,3.25,1.49000001,6.159375668,-0.021246329,250.980423,-32.470313076000004,54.34062576,63.410156256,91.91014841,-2.502987146,2209.632324,13.796748156,-1.3789992,83.08959961,-6.607663631,89.98176575,0.103337169,-1.542122602,2.347808123,0.417336345,5.301208019,-130.7917786,-1.1041646,-14.30602741,25.23700714,-33.48405838,8.820548800000012,-2.75735252970336,1.9763793792274558,-131.62666175159535,0.495632429193433,NA,0,0,0,0,NA,NA,24.041222457210043,2,1,NA,NA,NA,NA,NA,NA,NA,NA
588,1,R,called_strike,CH,19,2,R,7,Top,1,1,1,3,53,1,2,3.1500000950000002,1.5,6.023671627,0.630021811,254.8656921,-32.934216504000005,54.4763298,63.10489082400001,90.03831944,-2.999253511,2094.071777,11.88466644,-3.5869220520000002,83.78018188,-6.281676769,90.31787109,-0.761343777,-0.954856157,2.776085377,0.414755762,6.519533157,-131.3305054,0.32672146,-12.77273655,24.0024395,-35.92294693,6.258137559999994,-2.3627438494661055,2.096070683554821,-132.1460829935173,0.46200208088671263,NA,0,1,0,0,NA,NA,23.25756178063112,2,1,NA,NA,NA,NA,NA,NA,NA,NA
140,1,R,swinging_strike,SL,19,2,R,7,Top,1,2,1,4,53,1,2,3.289999962,1.49000001,6.043872833,-0.643244743,99.91176605,-30.477061272,54.45613098,66.032209392,90.66870097,-1.602260947,2933.706299,-5.9915639160000005,3.435890436,82.86117554,-6.380625248,89.20581055,-2.729688883,-0.556836009,2.354953051,0.420066506,3.805546522,-129.6150513,-2.375546217,5.012825966,23.11631203,-28.66662025,7.807525429999998,-1.1705403602999493,2.2876376176875315,-130.40736166174477,0.13830352500185797,strikeout,1,1,1,NA,1,1,32.3563287839614,2,1,0.3333333333333333,1,0,0,1,0,1,0
95,1,R,hit_into_play,CH,24,2,L,7,Top,0,0,2,1,54,1,2,3.549999952,1.629999995,6.06055212,0.314255744,249.2523651,-30.857531544000004,54.43944931,64.380323412,90.27020282,-3.517016888,2376.172363,13.895997048,-0.6918007079999999,83.55513,-6.071638107,90.3298645,-0.897072852,-0.470533937,2.828149319,0.414967,7.657051086,-131.4437866,-0.307437927,-14.98666573,25.0217247,-32.987388610000004,6.715072819999989,-2.122640405453096,2.3157311036802612,-132.28618340965565,0.4613521149440507,field_out,1,1,1,NA,0,0,26.322887162867243,2,1,0.3333333333333333,1,0,0,0,0,1,0
339,1,L,hit_into_play,FF,27,4,L,7,Bot,0,0,0,1,55,1,2,3.410000086,1.559999943,5.817638397,-1.234799385,135.0558472,30.887692451999996,54.682365419999996,71.077274328,93.2852489,3.214207649,2012.292847,-6.766568184,13.130880828,84.53551483,-4.872879505,90.91744995,1.941882014,0.14653042,3.158824205,0.410478204,-7.240655422,-132.6389008,-3.459060669,8.050871849,24.17694664,-18.6422863,8.749734070000002,1.592924889027857,3.4548694498799164,-133.48965659811276,0.5305661868370408,field_out,1,1,1,NA,0,0,21.571393877687342,1,2,0.3333333333333333,1,0,0,0,0,1,0
362,1,L,ball,FC,35,4,R,7,Bot,0,0,1,1,56,1,2,3.4400000570000002,1.559999943,5.847468853,-2.378489494,144.5114441,31.880058288,54.65253448,70.664772036,88.31831344,3.762439728,2125.989258,0.5665593,8.42984676,81.76875305,-7.374507904,87.30371094,3.868466139,-0.891391516,1.437394023,0.427700728,-8.378853798,-127.1584473,-6.085647106,0.897456765,21.489151,-23.54703712,6.549560389999996,0.7003811793211954,2.135869508090515,-127.94228624050396,0.2151793173698448,NA,0,0,0,0,NA,NA,24.07189602238401,1,2,NA,NA,NA,NA,NA,NA,NA,NA
37,1,L,called_strike,FC,35,4,R,7,Bot,1,0,1,2,56,1,2,3.289999962,1.559999943,5.908329487,-1.643232822,146.6561737,31.830101964,54.59167099,70.283443452,89.26682086,3.482251883,2104.352539,2.12837022,8.401732212,81.57263184,-6.645294189,87.58808899,3.882218838,-0.760715723,2.101491451,0.426788777,-7.835803986,-127.7361984,-4.46040678,-0.532440603,23.25110245,-23.78738976,7.694189019999996,0.6966580731715999,2.4914809476911968,-128.5692777638304,0.22460671550376793,NA,0,1,1,NA,NA,NA,23.57373678962224,1,2,NA,NA,NA,NA,NA,NA,NA,NA
138,1,L,ball,CH,35,4,R,7,Bot,1,1,1,3,56,1,2,3.2699999809999998,1.470000029,5.666042805,-1.913746595,110.218071,31.683606144000002,54.83395767,70.257740016,85.26800956,4.295876503,1722.223267,-14.010692591999998,0.8285973119999999,78.4305954,-8.9117136,83.47219086,1.662033796,-0.205031171,0.9413504,0.44586628699999997,-8.781077385,-122.1714935,-5.153879642,13.30876064,20.81018066,-30.73245621,6.8374141599999945,1.7968141149059873,1.2947125997564264,-122.99213336259298,0.5850222687561154,NA,0,0,0,0,NA,NA,20.197765561633453,1,2,NA,NA,NA,NA,NA,NA,NA,NA
344,1,L,ball,FC,35,4,R,7,Bot,2,1,1,4,56,1,2,3.319999933,1.559999943,6.02658844,-2.685097694,155.1218719,31.172907828,54.47341156,69.112066272,88.42788592,3.172453403,2071.396729,2.56176138,8.31625128,81.50723267,-7.744560242,87.30776978,3.652979612,-0.556487322,1.002479672,0.429072261,-7.104238987,-126.8140945,-6.756376743,-1.116649628,21.69000435,-23.58517647,6.920653250000001,0.7623433984342328,1.8416760182888983,-127.57692266333441,0.23016545272128291,NA,0,0,0,0,NA,NA,23.424700335751282,1,2,NA,NA,NA,NA,NA,NA,NA,NA
550,1,L,foul,FC,35,4,R,7,Bot,3,1,1,5,56,1,2,3.410000086,1.559999943,5.880727291,-2.136794567,148.5306091,31.488032340000004,54.61927414,68.444658276,89.98391409,2.737785339,2066.210205,-0.147639564,9.175465824,82.58079529,-6.844751358,88.51077271,2.710090637,0.092122376,1.616962433,0.422116667,-6.161147594,-128.9331818,-5.569575787,1.218009233,22.58790207,-22.72279549,7.4031188000000014,1.2568184441300383,2.2328989706329283,-129.73991185538426,0.2505022741512356,NA,1,1,1,NA,0,0,22.961995217649903,1,2,NA,NA,NA,NA,NA,NA,NA,NA
