safe,dist_from_base,sprint_speed,arm_of
1,357,28.8,90.3
1,329,29.1,87.6
1,303,26,84.8
1,324,29.5,88.7
1,281,25.8,81.5
1,284,26.4,84.7
1,303,27.7,86
1,378,24.9,87.2
1,338,24.3,92.4
1,368,28,92.4
1,275,28.2,90.8
1,283,25.7,84.2
1,318,27.6,87.8
1,311,29.6,84.8
1,297,24.9,82.9
1,294,25.8,86.2
1,317,25,86
1,319,25.6,81.2
1,325,28.4,82.6
1,337,25.3,74.1
1,318,27.9,85.4
1,306,27.2,84.2
1,366,29.3,88.9
1,314,28.3,88.8
1,299,29.9,93.8
1,280,26.4,85.2
1,282,28,84.8
1,309,27,81.9
1,300,23.6,84.9
1,357,27.3,86.3
1,326,27.5,74.8
1,331,25.9,87.5
1,377,26.6,94.9
1,332,25.6,90.3
1,286,29.3,88.9
1,302,25.6,91.1
1,283,25.9,89.5
1,286,25.6,82.5
1,375,26.5,89.8
1,354,28,84.9
1,259,26.8,84.9
1,278,26.8,89.5
1,344,27.2,85.4
1,423,26.8,84.8
1,303,27.1,89.4
1,369,26.7,84.2
1,313,26.5,87.2
1,349,28.4,88.9
1,227,27.6,86.9
1,300,28.7,84.7
1,315,26.8,86
1,270,27.3,85.2
1,331,28.3,88.9
1,312,27.1,86.6
1,259,28.2,88.7
1,285,28.9,89.5
1,286,26.4,79.9
1,335,28.4,90.3
1,285,27.1,87.1
1,305,27.7,92.6
1,286,26.8,80.7
1,340,28.2,82.9
1,294,25.2,86.9
1,266,26.4,85.5
1,282,27.8,88.2
1,333,25.1,82.9
1,256,27.5,84.2
1,293,30.6,87.6
1,323,28.3,93
1,283,26.9,90.5
1,372,29.5,84.2
1,289,25.2,84.5
1,372,26.2,81.3
1,303,25.1,89.2
1,286,27,88.9
1,383,27.4,87.6
1,354,28,84.8
1,318,26.9,94.9
1,367,28.4,86.9
1,303,26.4,84.2
1,286,25,93.8
1,305,28.3,88.8
1,353,27.9,90.9
1,375,26.8,75.2
1,331,27.6,79.9
1,290,29.2,87.8
1,278,28.2,88.7
1,386,28.1,86
1,270,27.4,86
1,318,29.4,80.7
1,297,27.3,83.3
1,348,27.8,85.2
1,301,28.8,79.9
1,297,26,88.2
1,331,28.6,87.1
1,334,28.5,85.9
1,351,30.5,87.8
1,299,27.8,89.5
1,337,28.8,88.6
1,340,28.4,85.1
1,302,27.4,91.9
1,314,25.7,81.3
1,326,25.7,89.1
1,257,25.6,86.9
1,342,26.8,90.8
1,287,28.2,80.4
1,307,26.8,80.7
1,320,27.2,84.5
1,304,29.3,82.5
1,336,28.6,87.6
1,259,27.9,79.9
1,269,25.3,92.4
1,335,26.7,82.5
1,307,25.6,81.5
1,301,28.2,91.6
1,390,25,81.4
1,287,27.5,86.3
1,295,29.6,85.1
1,254,26.1,82.4
1,361,25.7,84.2
1,301,27.9,92.4
1,282,28.1,83.1
1,308,27.5,86.1
1,311,26.9,86
1,332,27.5,86
1,296,27.9,92.6
1,299,28.3,88.5
1,306,26.9,81.5
1,282,29.4,81.9
1,322,26.8,86.6
1,271,26,84.9
1,291,27.2,92.6
1,291,27,80.7
1,294,27.3,87.1
1,341,29.9,83.4
1,280,24.8,87.6
1,333,27.8,81.4
1,328,28.1,95
1,392,28,87.6
1,296,26.9,86
1,366,28.8,86.5
1,286,27.1,87.8
1,280,27.1,84.8
1,331,26,87.6
1,321,24.5,92.5
1,326,25.1,84.2
1,317,25.9,84.3
1,263.6310158156661,29.1,92.5
1,262.1031488269456,28.8,85.9
1,247.3650768600936,27.4,84.9
1,260.67444255239144,27,88.2
1,225.83273954411484,29.8,85.1
1,273.1943653335478,28.6,83
1,273.8664204498244,28.8,85.9
1,256.9730749514431,27.1,85.2
1,233.29033681230777,26.7,83
1,252.75812796030917,28.2,88.2
1,239.99016906948506,26.8,83
0,265.5408843285719,28.2,85.9
1,266.32809887430204,28,87.6
1,244.98812726334313,28.5,86.7
1,219.84914287983932,27.1,86.3
1,259.0939224007387,26,83
1,244.49730187672836,28.4,89.7
1,257.24311093788305,27,85.5
0,248.94179164013426,27,92.6
0,250.15726678431716,26.5,90.3
1,241.50541401798844,27.6,86.2
1,269.2311855079199,27.4,88.7
1,261.5790941570064,27.3,85.8
1,241.4131844473288,25.8,85.7
1,268.25689180336076,28.7,81.8
1,247.80227248756213,28.5,84.4
1,226.53333226039828,28.4,85.6
1,256.11529874257803,26.8,88.8
1,257.0337161735791,27,86.2
1,246.9598056870794,27.1,82
1,224.181525220077,28.2,79.6
1,210.1481694543162,29.5,87.3
1,272.152404453828,28.2,84.4
0,237.84196696546226,24,90.7
1,221.71509871905434,28.8,90.2
1,259.52520710905907,26.6,85.7
1,261.67076761648406,28.4,81.8
1,240.90947080801953,28.5,92.6
1,265.79417906530614,28.5,88.5
0,258.70525820902833,28.1,84.4
1,245.53540732448343,26.6,84.6
1,258.8407835909944,24.5,84.1
1,249.59896459120185,28.6,84.9
0,247.4046988236077,27.8,85.4
1,257.45295322640993,28.4,84.6
1,264.6990838669451,27,92.6
1,247.84119159251964,27.6,85.3
1,231.00032602790847,27.4,79.1
1,222.4322930691494,27,79.1
1,307.7752954673264,27.2,88.8
1,276.8904036347233,28.5,79.1
0,244.27932909888224,27.8,86.2
1,285.85096860077283,27.9,91.7
1,253.7614948135355,25.8,89.5
1,258.94064957051455,27.6,86.1
1,219.78584036511543,27,79.1
0,244.22616823346354,26.5,88.8
1,276.4078350011085,29.4,85.6
1,260.5610533061302,28.2,84.5
1,214.48593339657498,27.4,84.9
1,237.4205459201036,29.6,87.1
1,254.89308665595465,30.6,84.7
1,197.35111635103564,25,83
1,260.2676086742259,29.4,87.1
1,260.25261766214766,24.6,86.3
1,262.35439414082623,28.5,88.6
1,265.0363489221809,28.8,90.1
0,236.80406721591592,22.5,85.1
1,211.26799627487355,26.8,85.5
1,263.70196363508563,27.6,88
1,224.3800180497364,27,83.3
1,270.57337498357083,27.6,85.4
0,238.64851377077545,27,84
1,272.89521111591534,29.4,84.5
0,261.22025428744996,23.8,85.7
1,273.17706368763834,25.2,87.1
1,249.27743580195946,26.4,91.7
1,254.79681365747103,27.6,85.6
1,268.5042050415598,28.8,80.2
1,333.0262236296115,27.7,90.5
1,181.6069278689555,28.7,93.9
1,282.08399125969555,28.5,91.9
1,324.7411969553601,28.2,83
1,333.8428569327192,27.7,85.9
1,243.10148600944424,24.7,85.3
1,289.5344593049332,27.4,85.1
1,256.14330217673074,27.5,84.5
1,289.98711393784384,27,88.4
1,333.36397525827533,26.5,87.1
1,279.8594848312274,26.6,87
1,273.08369138416157,28.6,85.3
1,286.28059770965973,29.9,85
1,282.01273131722263,29.1,87.6
1,316.2021841322416,28.1,90.7
1,279.040508931947,28,85.7
1,335.0634501478787,29.9,84.9
1,330.18809222926257,27.4,84.9
1,304.7547538595584,28.6,85.1
1,312.0398862725726,28.3,85.7
1,351.7179907255244,27.9,83.6
1,304.91901076351405,27.7,91.4
1,336.66127079009254,27.8,87.6
1,301.10586593422585,28.4,89.5
1,274.3943444205802,26.8,90.3
1,300.42055938300894,25.4,85.4
1,312.0427154253084,26.6,85.4
1,329.1019646325437,26.1,90.2
1,289.47917239414653,28.1,87.5
1,303.79862676615244,29.5,88.4
1,260.3609897814955,27.5,86.1
1,255.6301283104165,29.9,84.9
1,260.037479269816,27.5,84.9
1,307.77255502237364,28,89
1,331.66159146033175,28.5,83
1,323.0354934059104,26.9,84.5
1,284.763389720308,26.8,87
1,305.19745350346557,28,88.2
1,284.7327837201048,28.7,84.5
1,292.6328982274549,27.7,87.5
1,289.5098465510284,26.8,81.6
1,227.2863639772523,28.3,80.5
1,277.06537360341514,28.3,85.1
1,336.11279449762094,27.1,86
1,334.1037722400033,26,85.1
1,257.9295846253392,26.9,90.4
1,317.01394783983875,26.7,90.4
1,307.6758887205821,27.2,85.1
1,329.5311366168606,27.9,89.6
1,330.53834970393376,27.9,85.3
1,278.99789089704603,27,86.3
1,276.60662727056996,28.2,83.3
1,307.9692446089382,26.7,88.7
1,285.3496856928355,28.7,87.1
1,317.787001189476,27.6,83.6
1,282.62548540427133,27.6,87.3
1,324.98952386961645,26.6,90.3
1,268.4170728549136,28.8,84.2
1,296.73011517201957,27.3,90.2
0,199.35247678421257,29.2,88.2
1,320.2247199233688,26.7,86.7
1,248.61968194412927,27.2,83
1,263.77570609326403,29.5,85.3
1,307.6834747349945,27,85.4
1,322.2678864314594,27.7,91.9
1,307.40224564078903,23.8,83.5
1,346.9169929536459,27.6,84.9
1,195.587335032205,28.8,84.5
1,243.49826744763504,27.5,83.6
1,234.29230807903193,27.3,88.7
1,267.01365133640644,28.6,84.9
1,371.64603119097075,27.9,84.5
1,325.4591698662061,27.6,88.2
1,331.4814483873871,28.5,87.1
1,335.6491173830196,26.7,85
1,300.31389932036114,28.9,87.2
1,282.72857124811424,29.2,84.3
1,274.9552065791808,28.7,87.3
1,324.4865193655971,28.1,89.8
1,266.5566074964191,27.8,89.5
1,273.40101728047756,29.1,86.7
1,335.6794024809983,26.9,85.8
1,317.31085803199363,27.7,87.6
1,291.06328027595646,25.2,87.6
1,345.4211062239828,28.1,92
1,308.98188559363797,28.3,87.8
1,285.5397268770145,28.3,83.3
1,291.1858942325332,25.3,87.9
1,308.425376914741,27.9,92.5
1,319.53744401087016,27.9,84.5
1,317.418124285618,27,92
1,323.5775119658348,27.8,90.3
1,311.059645606755,28.4,83
1,325.3933667501537,29.1,86.7
1,279.82952399630744,28.2,88.4
1,243.40245094287778,29.1,88.9
1,320.7402463442965,27.1,86
1,274.8286613965145,27.8,83
1,341.5042093444823,29.1,84.9
1,318.25906212549546,26.8,85.9
1,319.30361433125057,29.4,76.3
1,343.5919864097532,26.2,86.1
1,285.2032225010791,27.8,84.9
1,288.5132026875027,28.2,90.5
1,294.0063434689803,26.9,88
1,295.84867859262107,28.4,88.7
1,322.16104862320026,28.6,88.2
1,302.48314002601865,29.9,92
1,337.4957490473028,27.6,88.4
1,299.2526106820123,30.6,85.1
1,342.58157057845364,28.4,81
1,326.9110439018542,27.5,92.6
1,300.85058687827086,25.2,88.8
1,334.31155472851975,29.7,86
1,259.37974212532487,29.6,90.1
1,314.5432770303635,25.2,84.4
1,317.46078891730866,22.5,85.1
1,295.1323400188465,28.9,83.6
1,312.59189148952674,28.6,85.7
1,316.49600510906924,28.8,81
1,295.310467982427,25.9,88.8
1,341.30678282155486,27.2,81
1,238.98913285963448,28.2,84.2
1,312.441404506509,28.6,85.7
1,335.3168725250789,27.9,86.7
1,262.9493356618343,27.2,87
1,317.48726746123225,25.9,84.9
1,297.2151377790169,27.8,87.1
1,300.7015848395217,25.7,88
1,336.652766214686,26.2,91.4
1,300.39020664795316,28.6,87.9
1,250.45700479323793,27.8,85.8
1,296.8488862199082,24.3,85.2
1,323.9302442270558,25.8,85.4
1,289.0213941043119,28.8,83.5
1,283.04828651662956,23.8,90.5
1,306.69241920856143,27,88.8
1,268.46009014376796,29.6,85.8
1,306.78483196696675,27,92.6
1,305.3770722402061,27.7,86.7
1,295.0443547163714,25.2,86.6
1,336.23850166213856,26.8,86.6
1,291.8867074739787,28.5,85.1
1,303.4646200547933,28.7,82.8
1,313.19260547624685,28.2,84.9
1,328.926682560111,25.9,88.4
1,353.22807433724745,28,90.5
1,346.3243828046186,27.3,85.3
1,231.94670185195565,29.1,84.2
1,288.23339609594166,28.4,85.4
1,297.52368078020277,28.4,80.3
1,338.1883027619376,28.3,87.3
1,330.76004992290103,28.3,87.3
1,309.5229928858275,28.6,84.8
1,326.96365719296693,26,87.1
1,281.11190387459584,26.9,85.4
1,316.55747207260805,29.3,90.7
1,296.55630156852175,28.6,88.2
1,298.43450914731693,30.6,85.1
1,286.24923799025214,27,84.4
1,341.12167275768337,28.4,90.5
1,316.40805338992243,26.9,90.2
1,295.5565438710501,27.4,85.1
1,326.31914018334874,27.4,88.9
1,306.9161632270285,27.9,91.9
1,316.99861691338657,29.3,86.7
1,324.1524506308722,28.6,85.8
1,239.55276036814942,30.6,84.5
1,332.6571367414203,25.4,86.7
1,339.24166349374013,27.4,85.4
1,356.31737608486065,25,84.6
1,347.61598244327035,26.1,84.6
1,334.738350245382,28.5,88.7
1,336.81692449311396,27.2,90.5
1,309.9969122830097,27.3,92.6
1,337.3756752494169,29.1,94.5
1,322.41974195138863,27.5,89.5
1,329.0025389339724,26.6,84.8
1,336.5617337502884,26.9,83
1,318.8346015177776,28.2,87.1
1,305.09617848311376,26,89.2
1,266.19718372852856,28.4,88.7
1,356.7156938655769,27.4,84.4
1,268.75534064460936,26.8,84.5
1,227.50771415492707,28.8,93
1,346.2506001799852,25.4,92.6
1,325.3647952683265,26.4,81.8
1,343.73122221439246,29.2,85.4
1,348.27644910329496,28.1,89.6
1,267.86549796493017,27.6,81.5
1,301.05228781724946,26.8,89.5
1,346.4837342863299,29.4,92.6
1,272.94643476330657,29.1,88.2
1,320.13130313982106,28.5,90.2
1,297.388813256316,28.2,84.1
1,298.15707269826754,26.5,83.3
1,320.65149793038546,28.2,83.3
1,301.2240569742066,27.8,85
1,300.3032352889326,26.1,85.8
1,301.38976529570476,27,94.5
1,352.03828804549084,28.4,84.5
1,292.0180784215251,27.6,90.5
1,305.5371110847257,28.3,80.5
1,299.76038451569946,26.7,86
1,336.9486700522797,28.6,85.1
1,276.50995122237464,24.9,85.2
0,280.35647509019657,26.8,90.5
1,299.2341108981395,26.9,88.2
1,315.48156245650875,26,92
1,313.65082894837053,27.5,84.8
1,306.4075360120896,26.9,90.4
1,310.5265226192443,29.6,85.2
1,338.394039915008,27.9,85.8
1,294.75366834019223,27.8,85.9
1,311.08551175681583,29.5,88.2
1,329.2260555074582,28.7,88.3
1,323.8908313382767,27.2,87
1,304.354320652755,28,87.1
1,288.73334800469445,27.2,84.9
1,302.41164825449425,26,87
1,330.20069086844745,27,91.9
1,309.27484944624905,26,88.2
1,336.7343695333163,27.7,85.1
1,291.6409018382024,27,84.4
1,294.6185298398592,24.3,85.8
1,303.2315379788191,27.8,91.7
1,350.677046939203,27,86.3
1,341.96697300324195,27.3,84.9
1,309.7561187854084,29.5,86
1,271.4886760990226,25.5,85.3
1,337.73828717662445,27,88.8
1,311.3619939074132,25.3,90.4
0,283.69096302138354,27.8,91.7
1,318.31987940592086,29.6,85.6
1,343.53285596140586,26.8,84.5
1,292.8042744308901,25,88.9
1,289.56178097255867,28.6,94.5
1,320.7917441658997,27.3,84.3
1,333.72580436639896,27.6,85.3
1,294.40481165395374,26.8,84.9
1,358.673661738634,28,90.4
0,273.0706650759103,28.4,90.4
1,328.13875590213354,29.2,89.9
1,310.59789117120556,23.7,84.4
1,343.10969455846043,27,83.3
1,284.2596788149878,26.9,86.1
1,268.0586934329869,28.5,90.4
1,358.4701678661699,27.9,86.3
1,329.90319981776474,26.1,88.8
1,333.08863872849224,25.2,88.9
1,310.1630700131787,29.4,92.5
1,342.3164882458921,25.5,81
1,327.932024206237,28.9,85.1
1,303.3331192764813,29.1,86.6
1,325.7682122690917,27,84
1,323.0786223970877,29.5,92.5
1,306.7248166109159,29.6,85
1,333.6660952584186,27.6,87.1
1,272.76162899132277,27.1,88.9
1,343.0287715702576,25.4,84.9
1,282.49200984275643,26.8,87.8
1,297.4019008429503,28.4,84.9
1,300.77561092116497,28.2,88.2
1,318.13095672222784,27.1,80.6
1,303.737923628249,29.8,88.4
1,295.65693485017397,28.1,82.8
1,346.21462725453995,25.7,88.6
1,320.14970131174573,28.8,85.1
1,332.2465895235044,24.4,88.9
1,350.12443234513074,28,92
1,321.3241237442343,28.8,86.7
1,283.7463270687394,29.8,86.2
1,260.440888206902,27.6,85.9
1,351.16500840060934,27,85.8
1,281.54598314484974,27.6,85.1
1,297.14645484171604,28.1,84.2
1,212.6271222704197,27.4,80.7
1,328.70674049979567,27.7,88.8
1,309.8109312548542,28.6,94.5
1,293.83097713651637,27,92.6
1,242.1246799171865,26.8,91.9
1,320.80187129285883,27.2,91
1,289.9218256703003,29.8,85.1
1,299.3547738470192,28,82.8
1,303.288489931616,26.7,82
1,307.9416797463443,28.2,84.4
0,286.9711657989353,27.8,91.9
1,357.6640497729678,27.4,88.4
1,320.98395014392855,27.8,94.5
1,259.5014956604297,30.4,89.9
1,295.58837933856603,25.3,90.7
1,298.28933311467915,28.1,78.7
1,303.08511387067495,27,87
1,260.16784245944,28.6,85.1
1,276.99035294572985,27.9,90.2
1,320.08130607706534,26.1,81
1,292.9477779826978,26.9,87.8
1,276.2581684312701,27.7,87.8
1,317.13786040143486,28.6,88.2
1,269.0381780528555,27,87
1,290.17123392920945,27.4,92.7
1,328.3179756349018,28,87.1
1,353.22088078849475,26.7,83.2
1,311.746981741604,24.7,85.7
1,345.3604294791168,30.6,79.1
1,298.67998133453807,27.2,84.1
1,303.8582255756787,27,84.9
1,348.19926048169606,27.7,82.8
1,306.88995584736887,26.8,81
1,280.9701596700262,25.8,86.8
1,314.69482935853904,27.6,94.1
1,329.7529567721873,26.9,87.1
1,299.2694490338097,28.2,81.8
1,334.4204772812215,27.2,93.9
1,325.45223343833425,27.8,87.2
1,294.1698531461034,26.6,88.5
1,305.6102624258551,28.5,88.5
1,289.7813938989183,26.7,88
1,290.1520474251388,27,89
1,305.5828549673558,29.5,83
1,345.4747250161725,28.9,85.4
1,349.32386835141966,26.7,94.5
1,238.4276056269492,28.4,84.5
1,345.9602189920107,26.2,81.9
1,342.7517797182095,27.6,87.1
1,302.6931821168095,28.8,83
0,257.8731289316512,27.2,91.7
1,331.22756716493274,28.6,94.5
1,364.07551586175083,28.6,88.7
1,284.93185259812566,27,88.4
1,320.94594657823615,25.5,85.7
1,238.31048025632447,28.1,93.9
1,275.9889150853708,28,88.4
1,279.7757048065468,29.6,80.6
