outs_when_up,on_1b,on_2b,on_3b,balls,strikes,run_exp
0,0,0,1,2,2,1.48
0,1,0,1,2,2,1.70
0,0,1,1,2,2,2.11
0,1,1,1,2,2,2.02
1,0,0,0,2,2,0.26
1,1,0,0,2,2,0.48
1,0,1,0,2,2,0.57
1,1,1,0,2,2,0.81
1,0,0,1,2,2,0.82
1,1,0,1,2,2,1.13
1,0,1,1,2,2,1.38
1,1,1,1,2,2,1.33
2,0,0,0,2,2,0.08
2,1,0,0,2,2,0.20
2,0,1,0,2,2,0.21
2,1,1,0,2,2,0.36
2,0,0,1,2,2,0.33
2,1,0,1,2,2,0.43
2,0,1,1,2,2,0.41
2,1,1,1,2,2,0.64
0,0,0,0,3,2,0.61
0,1,0,0,3,2,1.05
0,0,1,0,3,2,1.06
0,1,1,0,3,2,1.94
0,0,0,1,3,2,1.45
0,1,0,1,3,2,2.07
0,0,1,1,3,2,1.86
0,1,1,1,3,2,2.86
1,0,0,0,3,2,0.32
1,1,0,0,3,2,0.57
1,0,1,0,3,2,0.67
1,1,1,0,3,2,0.85
1,0,0,1,3,2,0.89
1,1,0,1,3,2,1.26
1,0,1,1,3,2,1.49
1,1,1,1,3,2,1.92
2,0,0,0,3,2,0.14
2,1,0,0,3,2,0.26
2,0,1,0,3,2,0.25
2,1,1,0,3,2,0.45
2,0,0,1,3,2,0.33
2,1,0,1,3,2,0.53
2,0,1,1,3,2,0.40
2,1,1,1,3,2,0.87
0,0,0,0,1,1,0.49
0,1,0,0,1,1,0.89
0,0,1,0,1,1,1.15
0,1,1,0,1,1,1.42
0,0,0,1,1,1,1.56
0,1,0,1,1,1,1.75
0,0,1,1,1,1,1.92
0,1,1,1,1,1,2.28
1,0,0,0,1,1,0.26
1,1,0,0,1,1,0.53
1,0,1,0,1,1,0.68
1,1,1,0,1,1,0.91
1,0,0,1,1,1,0.90
1,1,0,1,1,1,1.19
1,0,1,1,1,1,1.45
1,1,1,1,1,1,1.60
2,0,0,0,1,1,0.10
2,1,0,0,1,1,0.21
2,0,1,0,1,1,0.29
2,1,1,0,1,1,0.43
2,0,0,1,1,1,0.40
2,1,0,1,1,1,0.52
2,0,1,1,1,1,0.53
2,1,1,1,1,1,0.72
0,0,0,0,2,1,0.56
0,1,0,0,2,1,1.00
0,0,1,0,2,1,1.25
0,1,1,0,2,1,1.47
0,0,0,1,2,1,1.47
0,1,0,1,2,1,1.71
0,0,1,1,2,1,1.78
0,1,1,1,2,1,2.01
1,0,0,0,2,1,0.30
1,1,0,0,2,1,0.53
1,0,1,0,2,1,0.70
1,1,1,0,2,1,0.96
1,0,0,1,2,1,0.85
1,1,0,1,2,1,1.30
1,0,1,1,2,1,1.40
1,1,1,1,2,1,1.58
2,0,0,0,2,1,0.14
2,1,0,0,2,1,0.26
2,0,1,0,2,1,0.33
2,1,1,0,2,1,0.45
2,0,0,1,2,1,0.38
2,1,0,1,2,1,0.56
2,0,1,1,2,1,0.59
2,1,1,1,2,1,0.94
0,0,0,0,3,1,0.67
0,1,0,0,3,1,1.05
0,0,1,0,3,1,1.32
0,1,1,0,3,1,2.07
0,0,0,1,3,1,1.33
0,1,0,1,3,1,2.11
0,0,1,1,3,1,1.67
0,1,1,1,3,1,2.33
1,0,0,0,3,1,0.35
1,1,0,0,3,1,0.70
1,0,1,0,3,1,0.83
1,1,1,0,3,1,1.11
1,0,0,1,3,1,1.08
1,1,0,1,3,1,1.64
1,0,1,1,3,1,1.30
1,1,1,1,3,1,2.53
2,0,0,0,3,1,0.18
2,1,0,0,3,1,0.31
2,0,1,0,3,1,0.41
2,1,1,0,3,1,0.59
2,0,0,1,3,1,0.47
2,1,0,1,3,1,0.67
2,0,1,1,3,1,0.67
2,1,1,1,3,1,1.17
